id,predict_0,predict_1,predict_2
14121.0,0.8591549295774648,0.14084507042253522,0.0
,1.0,0.0,0.0
,0.4694835680751174,0.2676056338028169,0.26291079812206575
,0.34285714285714286,0.6476190476190476,0.009523809523809525
,1.0,0.0,0.0
,0.7819548872180451,0.19548872180451127,0.022556390977443608
9731.0,1.0,0.0,0.0
15505.0,1.0,0.0,0.0
,0.3023255813953488,0.3488372093023256,0.3488372093023256
,0.0,0.5,0.5
,0.0,1.0,0.0
,0.9285714285714286,0.0,0.07142857142857142
,0.8928571428571429,0.07142857142857142,0.03571428571428571
,0.6456692913385826,0.2125984251968504,0.14173228346456693
,0.6,0.4,0.0
,0.9069767441860465,0.06976744186046512,0.023255813953488372
,0.5,0.475,0.025
,1.0,0.0,0.0
,1.0,0.0,0.0
,0.6875,0.3125,0.0
,0.8367346938775511,0.16326530612244897,0.0
,1.0,0.0,0.0
,0.6226415094339622,0.37735849056603776,0.0
,0.9829787234042553,0.01702127659574468,0.0
16574.0,1.0,0.0,0.0
7504.0,0.4444444444444444,0.5555555555555556,0.0
,0.4694835680751174,0.2676056338028169,0.26291079812206575
,1.0,0.0,0.0
,0.0625,0.9375,0.0
,1.0,0.0,0.0
896.0,0.38461538461538464,0.6153846153846154,0.0
,0.6,0.1,0.3
,1.0,0.0,0.0
,0.21176470588235294,0.7647058823529411,0.023529411764705882
,0.7819548872180451,0.19548872180451127,0.022556390977443608
,0.4508670520231214,0.45664739884393063,0.09248554913294797
,0.0,0.75,0.25
6824.0,1.0,0.0,0.0
,0.5,0.5,0.0
12261.0,0.9829787234042553,0.01702127659574468,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
967.0,1.0,0.0,0.0
,0.47058823529411764,0.3235294117647059,0.20588235294117646
,0.3888888888888889,0.0,0.6111111111111112
11424.0,0.6111111111111112,0.3888888888888889,0.0
,0.21176470588235294,0.7647058823529411,0.023529411764705882
,0.34782608695652173,0.391304347826087,0.2608695652173913
2272.0,0.4931506849315068,0.3972602739726027,0.1095890410958904
,0.15384615384615385,0.7948717948717948,0.05128205128205128
,1.0,0.0,0.0
,1.0,0.0,0.0
,0.8173076923076923,0.18269230769230768,0.0
,0.4694835680751174,0.2676056338028169,0.26291079812206575
9012.0,0.4508670520231214,0.45664739884393063,0.09248554913294797
9928.0,0.6875,0.3125,0.0
297.0,1.0,0.0,0.0
,1.0,0.0,0.0
,1.0,0.0,0.0
3688.0,0.9069767441860465,0.06976744186046512,0.023255813953488372
,1.0,0.0,0.0
,0.4772727272727273,0.20454545454545456,0.3181818181818182
